characteristic,value
Microcontroller,ESP32-WROOM-32U-N16 (dual-core)
Power Input,24 V DC nominal
RTC,"RTC (PCF8563); backup battery holder, battery not fitted"
Document revision,DS-MicroPLC Rev. B · 2026-09 · Hardware V1.0
Digital Inputs,"1 × isolated 24 V DC discrete input (DIx + GNDx), supporting dry-contact closure protected by per-channel PTC fuse, TVS surge suppression, and EMI filtering"
Relay outputs,"1 × relay, C and NC only (SPST-NC); 3 A @ 250 VAC (module limit)"
Temperature Inputs,1 × 1-Wire (DS18B20 compatible)
User Interface,"1 front-panel button, 6 LEDs (1 user, 1 status, RX, TX, relay, DI)"
RS-485,"half-duplex Modbus RTU, not galvanically isolated"
Wi-Fi,Wi-Fi (ESP32)
USB,"USB-C (ESD protected, CC detection, data to ESP32)"
Operating temperature,0 °C to +40 °C
Storage temperature,−10 °C to +55 °C
Relative humidity,"0–90 % RH, non-condensing"
Ingress protection,IP20 (inside cabinet only)
Installation,Indoor control cabinet only; not for outdoor or exposed installation
Maximum altitude,2000 m
Pollution degree,2
Dimensions,35.5 × 90.6 × 67.3 mm (L × W × H)
DIN width,2 modules (≈ 35.5 mm)
Mounting,35 mm DIN rail
Enclosure,PC/ABS industrial enclosure
Terminal type,"Pluggable screw terminal blocks, 5.08 mm pitch"
Wire cross-section,0.2–2.5 mm² (AWG 24–12)
Tightening torque,0.4–0.6 Nm
Net weight,TBD
Gross weight,TBD
Pack size,TBD
